## Angular power spectra, cl, in uK^2
## TT                      EE                      BB                      TE 
   0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      
   0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      
   1.094997530867e+03      3.997366625588e-02      6.017343797581e-05      3.025295359097e+00      
   5.167261710946e+02      2.859670264751e-02      3.270346972228e-05      1.776051724259e+00      
   2.924755848452e+02      1.670940647796e-02      1.856215614155e-05      1.036795929708e+00      
   1.860909393188e+02      8.426467171347e-03      1.086701048677e-05      6.104153432189e-01      
   1.284670523801e+02      3.755969032188e-03      6.687569650078e-06      3.625297302955e-01      
   9.416011462504e+01      1.562780940206e-03      4.473892748881e-06      2.181776256559e-01      
   7.216782148770e+01      7.014064468572e-04      3.346396055189e-06      1.344186390494e-01      
   5.729236778013e+01      4.049084908742e-04      2.801953222598e-06      8.635483883900e-02      
   4.677138268061e+01      2.879381666086e-04      2.557338653073e-06      5.924672305469e-02      
   3.903526236235e+01      2.128343158432e-04      2.458471123144e-06      4.426446246587e-02      
   3.319397283062e+01      1.542544285209e-04      2.424790761789e-06      3.606327464868e-02      
   2.865701912516e+01      1.151891719084e-04      2.417156826129e-06      3.145378238283e-02      
   2.505649338951e+01      9.470230712267e-05      2.417680073739e-06      2.862843338232e-02      
   2.215516625787e+01      8.566303438161e-05      2.419639961873e-06      2.661553561663e-02      
   1.977613191961e+01      8.108316075178e-05      2.420764180093e-06      2.494089770225e-02      
   1.780070973695e+01      7.781364661379e-05      2.420817508011e-06      2.342404309385e-02      
   1.613883710915e+01      7.598955052819e-05      2.419996271824e-06      2.200831939060e-02      
   1.472787506613e+01      7.636395048273e-05      2.418543448340e-06      2.071163395902e-02      
   1.351568233610e+01      7.939394897519e-05      2.416681567708e-06      1.956148465421e-02      
   1.246724237701e+01      8.436516468735e-05      2.414519037838e-06      1.856386416406e-02      
   1.155351472205e+01      9.037443129855e-05      2.412132575708e-06      1.771423479621e-02      
   1.075223847529e+01      9.693492629461e-05      2.409586256769e-06      1.698744250457e-02      
   1.004410221248e+01      1.037265966262e-04      2.406933277177e-06      1.635055554178e-02      
   9.414812825114e+00      1.106801232977e-04      2.404195957427e-06      1.576014770931e-02      
   8.852203612507e+00      1.177623992217e-04      2.401385323418e-06      1.517630153546e-02      
   8.347595189423e+00      1.248344308901e-04      2.398498098343e-06      1.458362890729e-02      
   7.893458598930e+00      1.317747392356e-04      2.395531720247e-06      1.397463222026e-02      
   7.483379281936e+00      1.386377893720e-04      2.392500789319e-06      1.334884654467e-02      
   7.111221278790e+00      1.455220324587e-04      2.389424196279e-06      1.270756511954e-02      
   6.771372753450e+00      1.525096018285e-04      2.386318062052e-06      1.205387091310e-02      
   6.460318364277e+00      1.596173595088e-04      2.383187428374e-06      1.139800581051e-02      
   6.175066893235e+00      1.668458497003e-04      2.380034567186e-06      1.075200142610e-02      
   5.912724909773e+00      1.741898057561e-04      2.376862693322e-06      1.012535289239e-02      
   5.670790133294e+00      1.816207176402e-04      2.373678793188e-06      9.517409414488e-03      
   5.446858070695e+00      1.891042644686e-04      2.370490796083e-06      8.924983715650e-03      
   5.238749220589e+00      1.966105802921e-04      2.367305073778e-06      8.344801098032e-03      
   5.045184048475e+00      2.041276188988e-04      2.364121767923e-06      7.773237179330e-03      
   4.865108011574e+00      2.116477890112e-04      2.360939462638e-06      7.206580156131e-03      
   4.697466567109e+00      2.191634993517e-04      2.357756742043e-06      6.641118225029e-03      
   4.541200368321e+00      2.266671144801e-04      2.354572164895e-06      6.074279038119e-03      
   4.395230852547e+00      2.341508223042e-04      2.351384188500e-06      5.508048069515e-03      
   4.258474653154e+00      2.416067665692e-04      2.348191244800e-06      4.945550248840e-03      
   4.129848403495e+00      2.490270910202e-04      2.344991765739e-06      4.389910505716e-03      
   4.008393611119e+00      2.564045150809e-04      2.341783406601e-06      3.843709825158e-03      
   3.893651280293e+00      2.637340608891e-04      2.338560716054e-06      3.307353413756e-03      
   3.785287289472e+00      2.710113262610e-04      2.335317466105e-06      2.780702533488e-03      
   3.682967517115e+00      2.782319090135e-04      2.332047428763e-06      2.263618446339e-03      
   3.586357841671e+00      2.853914069623e-04      2.328744376038e-06      1.755962414285e-03      
   3.495110997857e+00      2.924851213763e-04      2.325403027606e-06      1.257491104455e-03      
   3.408827145425e+00      2.995071673314e-04      2.322021893833e-06      7.675428045473e-04      
   3.327093300391e+00      3.064513633556e-04      2.318600432747e-06      2.853512074065e-04      
   3.249496478769e+00      3.133115279769e-04      2.315138102382e-06      -1.898499941230e-04      
   3.175623696574e+00      3.200814797231e-04      2.311634360770e-06      -6.588271071971e-04      
   3.105108477385e+00      3.267555695042e-04      2.308089136776e-06      -1.122166112003e-03      
   3.037770375041e+00      3.333302777554e-04      2.304504242591e-06      -1.579731680856e-03      
   2.973475450945e+00      3.398026172942e-04      2.300881961243e-06      -2.031208159101e-03      
   2.912089766504e+00      3.461696009376e-04      2.297224575755e-06      -2.476279892086e-03      
   2.853479383120e+00      3.524282415028e-04      2.293534369154e-06      -2.914631225156e-03      
   2.797510362196e+00      3.585755518069e-04      2.289813624466e-06      -3.345946503659e-03      
   2.744048368369e+00      3.646084090583e-04      2.286065214931e-06      -3.769950845993e-03      
   2.692957479188e+00      3.705231480292e-04      2.282294374655e-06      -4.186532462781e-03      
   2.644101375437e+00      3.763159678830e-04      2.278506927959e-06      -4.595620337698e-03      
   2.597343737896e+00      3.819830677829e-04      2.274708699161e-06      -4.997143454419e-03      
   2.552548247347e+00      3.875206468925e-04      2.270905512585e-06      -5.391030796622e-03      
   2.509578584570e+00      3.929249043750e-04      2.267103192550e-06      -5.777211347979e-03      
   2.468298430350e+00      3.981920393940e-04      2.263307563377e-06      -6.155614092169e-03      
   2.428584133785e+00      4.033182552850e-04      2.259523998506e-06      -6.526191754998e-03      
   2.390362717252e+00      4.082997720736e-04      2.255756067866e-06      -6.888992030795e-03      
   2.353573871449e+00      4.131328139578e-04      2.252006890501e-06      -7.244086356024e-03      
   2.318157287069e+00      4.178136051357e-04      2.248279585458e-06      -7.591546167149e-03      
   2.284052654808e+00      4.223383698052e-04      2.244577271784e-06      -7.931442900629e-03      
   2.251199665365e+00      4.267033321641e-04      2.240903068524e-06      -8.263847992928e-03      
   2.219538009432e+00      4.309047164105e-04      2.237260094726e-06      -8.588832880504e-03      
   2.189007377708e+00      4.349387467424e-04      2.233651469437e-06      -8.906468999830e-03      
   2.159550418503e+00      4.388022688165e-04      2.230079908081e-06      -9.216800217602e-03      
   2.131121610597e+00      4.424946141243e-04      2.226546511598e-06      -9.519760121476e-03      
   2.103678390385e+00      4.460157356162e-04      2.223051977306e-06      -9.815254729367e-03      
   2.077178194260e+00      4.493655862425e-04      2.219597002521e-06      -1.010319005917e-02      
   2.051578458619e+00      4.525441189537e-04      2.216182284565e-06      -1.038347212880e-02      
   2.026836619854e+00      4.555512867000e-04      2.212808520753e-06      -1.065600695615e-02      
   2.002910114363e+00      4.583870424319e-04      2.209476408405e-06      -1.092070055913e-02      
   1.979756378539e+00      4.610513390995e-04      2.206186644838e-06      -1.117745895563e-02      
   1.957335351297e+00      4.635440248138e-04      2.202939942201e-06      -1.142621266270e-02      
   1.935616981628e+00      4.658645283263e-04      2.199737071966e-06      -1.166699019385e-02      
   1.914573721046e+00      4.680121735494e-04      2.196578820435e-06      -1.189984456173e-02      
   1.894178021062e+00      4.699862843953e-04      2.193465973913e-06      -1.212482877900e-02      
   1.874402333186e+00      4.717861847761e-04      2.190399318701e-06      -1.234199585830e-02      
   1.855219108932e+00      4.734111986041e-04      2.187379641102e-06      -1.255139881230e-02      
   1.836600799812e+00      4.748606497913e-04      2.184407727419e-06      -1.275309065362e-02      
   1.818519857337e+00      4.761338622500e-04      2.181484363955e-06      -1.294712439494e-02      
   1.800948733018e+00      4.772301598924e-04      2.178610337012e-06      -1.313355304890e-02      
   1.783861745164e+00      4.781491685854e-04      2.175786772473e-06      -1.331242649851e-02      
   1.767240679267e+00      4.788917220148e-04      2.173016154535e-06      -1.348378210833e-02      
   1.751069187615e+00      4.794589558212e-04      2.170301306973e-06      -1.364765411327e-02      
   1.735330922497e+00      4.798520056451e-04      2.167645053565e-06      -1.380407674822e-02      
   1.720009536199e+00      4.800720071271e-04      2.165050218085e-06      -1.395308424813e-02      
   1.705088681011e+00      4.801200959078e-04      2.162519624312e-06      -1.409471084789e-02      
   1.690552009221e+00      4.799974076276e-04      2.160056096020e-06      -1.422899078241e-02      
   1.676383173116e+00      4.797050779273e-04      2.157662456987e-06      -1.435595828661e-02      
   1.662565824986e+00      4.792442424475e-04      2.155341530988e-06      -1.447564759541e-02      
   1.649083617117e+00      4.786160368283e-04      2.153096141799e-06      -1.458809294372e-02      
   1.635920201799e+00      4.778215967108e-04      2.150929113197e-06      -1.469332856644e-02      
   1.623060235402e+00      4.768622510408e-04      2.148842788094e-06      -1.479139266775e-02      
   1.610492390629e+00      4.757401019883e-04      2.146837585942e-06      -1.488233932881e-02      
   1.598206344266e+00      4.744574450279e-04      2.144913445329e-06      -1.496622660004e-02      
   1.586191773097e+00      4.730165756352e-04      2.143070304843e-06      -1.504311253185e-02      
   1.574438353909e+00      4.714197892852e-04      2.141308103071e-06      -1.511305517466e-02      
   1.562935763487e+00      4.696693814530e-04      2.139626778603e-06      -1.517611257889e-02      
   1.551673678617e+00      4.677676476136e-04      2.138026270026e-06      -1.523234279495e-02      
   1.540641776084e+00      4.657168832430e-04      2.136506515927e-06      -1.528180387327e-02      
   1.529829732674e+00      4.635193838151e-04      2.135067454894e-06      -1.532455386426e-02      
   1.519227225172e+00      4.611774448061e-04      2.133709025517e-06      -1.536065081833e-02      
   1.508823930364e+00      4.586933616905e-04      2.132431166382e-06      -1.539015278590e-02      
   1.498609525035e+00      4.560694299440e-04      2.131233816078e-06      -1.541311781740e-02      
   1.488574365379e+00      4.533081146258e-04      2.130116894281e-06      -1.542960681207e-02      
   1.478711525222e+00      4.504125591336e-04      2.129080245029e-06      -1.543969206452e-02      
   1.469014757796e+00      4.473860764492e-04      2.128123693445e-06      -1.544344871821e-02      
   1.459477816337e+00      4.442319795547e-04      2.127247064656e-06      -1.544095191658e-02      
   1.450094454076e+00      4.409535814318e-04      2.126450183786e-06      -1.543227680309e-02      
   1.440858424248e+00      4.375541950628e-04      2.125732875961e-06      -1.541749852117e-02      
   1.431763480087e+00      4.340371334291e-04      2.125094966305e-06      -1.539669221428e-02      
   1.422803374825e+00      4.304057095129e-04      2.124536279945e-06      -1.536993302587e-02      
   1.413971861697e+00      4.266632362963e-04      2.124056642005e-06      -1.533729609939e-02      
   1.405262693937e+00      4.228130267606e-04      2.123655877610e-06      -1.529885657828e-02      
   1.396669624776e+00      4.188583938886e-04      2.123333811887e-06      -1.525468960599e-02      
   1.388186407450e+00      4.148026506614e-04      2.123090269959e-06      -1.520487032598e-02      
   1.379806795192e+00      4.106491100614e-04      2.122925076953e-06      -1.514947388168e-02      
   1.371524969681e+00      4.064011947151e-04      2.122838010509e-06      -1.508857750118e-02      
   1.363336826375e+00      4.020627658270e-04      2.122828658335e-06      -1.502226675105e-02      
   1.355238689179e+00      3.976377942460e-04      2.122896560653e-06      -1.495062928249e-02      
   1.347226881997e+00      3.931302508215e-04      2.123041257687e-06      -1.487375274670e-02      
   1.339297728734e+00      3.885441064027e-04      2.123262289659e-06      -1.479172479487e-02      
   1.331447553294e+00      3.838833318385e-04      2.123559196793e-06      -1.470463307821e-02      
   1.323672679582e+00      3.791518979784e-04      2.123931519311e-06      -1.461256524792e-02      
   1.315969431501e+00      3.743537756711e-04      2.124378797436e-06      -1.451560895520e-02      
   1.308334132956e+00      3.694929357662e-04      2.124900571392e-06      -1.441385185125e-02      
   1.300763107852e+00      3.645733491123e-04      2.125496381401e-06      -1.430738158726e-02      
   1.293252680092e+00      3.595989865591e-04      2.126165767687e-06      -1.419628581444e-02      
   1.285799173582e+00      3.545738189556e-04      2.126908270472e-06      -1.408065218399e-02      
   1.278398912224e+00      3.495018171507e-04      2.127723429980e-06      -1.396056834711e-02      
   1.271048219925e+00      3.443869519936e-04      2.128610786432e-06      -1.383612195499e-02      
   1.263743420587e+00      3.392331943336e-04      2.129569880054e-06      -1.370740065883e-02      
   1.256481140415e+00      3.340445415974e-04      2.130600047638e-06      -1.357449328275e-02      
   1.249259214805e+00      3.288250975210e-04      2.131699812268e-06      -1.343749334249e-02      
   1.242075781455e+00      3.235789924183e-04      2.132867493596e-06      -1.329649552669e-02      
   1.234928978061e+00      3.183103566033e-04      2.134101411277e-06      -1.315159452400e-02      
   1.227816942319e+00      3.130233203892e-04      2.135399884963e-06      -1.300288502307e-02      
   1.220737811927e+00      3.077220140903e-04      2.136761234309e-06      -1.285046171255e-02      
   1.213689724580e+00      3.024105680203e-04      2.138183778970e-06      -1.269441928109e-02      
   1.206670817976e+00      2.970931124926e-04      2.139665838596e-06      -1.253485241734e-02      
   1.199679229811e+00      2.917737778216e-04      2.141205732844e-06      -1.237185580995e-02      
   1.192713097781e+00      2.864566943203e-04      2.142801781366e-06      -1.220552414755e-02      
   1.185770559583e+00      2.811459923030e-04      2.144452303818e-06      -1.203595211882e-02      
   1.178849752913e+00      2.758458020833e-04      2.146155619850e-06      -1.186323441238e-02      
   1.171948815469e+00      2.705602539751e-04      2.147910049119e-06      -1.168746571689e-02      
   1.165065884946e+00      2.652934782919e-04      2.149713911275e-06      -1.150874072101e-02      
   1.158199099042e+00      2.600496053477e-04      2.151565525976e-06      -1.132715411337e-02      
   1.151346595453e+00      2.548327654561e-04      2.153463212872e-06      -1.114280058263e-02      
   1.144506511875e+00      2.496470889312e-04      2.155405291621e-06      -1.095577481744e-02      
   1.137677186149e+00      2.444966164181e-04      2.157390080397e-06      -1.076617121931e-02      
   1.130857756692e+00      2.393850298907e-04      2.159415891482e-06      -1.057408304123e-02      
   1.124047562067e+00      2.343159216538e-04      2.161481035684e-06      -1.037960324905e-02      
   1.117245940834e+00      2.292928840127e-04      2.163583823806e-06      -1.018282480864e-02      
   1.110452231556e+00      2.243195092725e-04      2.165722566653e-06      -9.983840685853e-03      
   1.103665772793e+00      2.193993897386e-04      2.167895575033e-06      -9.782743846538e-03      
   1.096885903108e+00      2.145361177160e-04      2.170101159748e-06      -9.579627256555e-03      
   1.090111961062e+00      2.097332855099e-04      2.172337631607e-06      -9.374583881761e-03      
   1.083343285216e+00      2.049944854256e-04      2.174603301415e-06      -9.167706688011e-03      
   1.076579214133e+00      2.003233097681e-04      2.176896479976e-06      -8.959088641161e-03      
   1.069819086373e+00      1.957233508430e-04      2.179215478095e-06      -8.748822707068e-03      
   1.063062240498e+00      1.911982009550e-04      2.181558606580e-06      -8.537001851588e-03      
   1.056308015070e+00      1.867514524096e-04      2.183924176236e-06      -8.323719040577e-03      
   1.049555748651e+00      1.823866975119e-04      2.186310497866e-06      -8.109067239893e-03      
   1.042804779801e+00      1.781075285671e-04      2.188715882279e-06      -7.893139415389e-03      
   1.036054447083e+00      1.739175378802e-04      2.191138640277e-06      -7.676028532923e-03      
   1.029304089058e+00      1.698203177568e-04      2.193577082668e-06      -7.457827558352e-03      
   1.022553044288e+00      1.658194605018e-04      2.196029520256e-06      -7.238629457530e-03      
   1.015800651334e+00      1.619185584204e-04      2.198494263849e-06      -7.018527196315e-03      
   1.009046375061e+00      1.581209899882e-04      2.200969605901e-06      -6.797611776885e-03      
   1.002290185550e+00      1.544292783623e-04      2.203453765464e-06      -6.575966346699e-03      
   9.955321791840e-01      1.508457328697e-04      2.205944943242e-06      -6.353672089542e-03      
   9.887724523463e-01      1.473726628379e-04      2.208441339939e-06      -6.130810189198e-03      
   9.820111014208e-01      1.440123775943e-04      2.210941156259e-06      -5.907461829448e-03      
   9.752482227911e-01      1.407671864663e-04      2.213442592904e-06      -5.683708194076e-03      
   9.684839128405e-01      1.376393987810e-04      2.215943850576e-06      -5.459630466865e-03      
   9.617182679530e-01      1.346313238659e-04      2.218443129981e-06      -5.235309831597e-03      
   9.549513845118e-01      1.317452710482e-04      2.220938631822e-06      -5.010827472056e-03      
   9.481833589006e-01      1.289835496552e-04      2.223428556800e-06      -4.786264572026e-03      
   9.414142875031e-01      1.263484690143e-04      2.225911105620e-06      -4.561702315288e-03      
   9.346442667027e-01      1.238423384529e-04      2.228384478986e-06      -4.337221885625e-03      
   9.278733928832e-01      1.214674672982e-04      2.230846877599e-06      -4.112904466822e-03      
   9.211017624279e-01      1.192261648776e-04      2.233296502164e-06      -3.888831242661e-03      
   9.143294717207e-01      1.171207405184e-04      2.235731553383e-06      -3.665083396925e-03      
   9.075566171449e-01      1.151535035480e-04      2.238150231962e-06      -3.441742113397e-03      
   9.007832950842e-01      1.133267632935e-04      2.240550738600e-06      -3.218888575859e-03      
   8.940096019222e-01      1.116428290825e-04      2.242931274004e-06      -2.996603968096e-03      
   8.872356340424e-01      1.101040102422e-04      2.245290038876e-06      -2.774969473890e-03      
   8.804614878285e-01      1.087126160999e-04      2.247625233919e-06      -2.554066277023e-03      
   8.736872596639e-01      1.074709559829e-04      2.249935059836e-06      -2.333975561280e-03      
   8.669131115403e-01      1.063810320418e-04      2.252217779289e-06      -2.114774922257e-03      
   8.601394678810e-01      1.054436177190e-04      2.254471902771e-06      -1.896527602807e-03      
   8.533668187171e-01      1.046591792806e-04      2.256696002733e-06      -1.679293257593e-03      
   8.465956540798e-01      1.040281829922e-04      2.258888651626e-06      -1.463131541283e-03      
   8.398264640005e-01      1.035510951196e-04      2.261048421902e-06      -1.248102108544e-03      
   8.330597385103e-01      1.032283819287e-04      2.263173886011e-06      -1.034264614039e-03      
   8.262959676405e-01      1.030605096852e-04      2.265263616406e-06      -8.216787124368e-04      
   8.195356414222e-01      1.030479446549e-04      2.267316185535e-06      -6.104040584016e-04      
   8.127792498868e-01      1.031911531036e-04      2.269330165854e-06      -4.005003065998e-04      
   8.060272830654e-01      1.034906012970e-04      2.271304129809e-06      -1.920271116972e-04      
   7.992802309894e-01      1.039467555011e-04      2.273236649855e-06      1.495587164019e-05      
   7.925385836898e-01      1.045600819814e-04      2.275126298441e-06      2.203889887465e-04      
   7.858028311979e-01      1.053310470040e-04      2.276971648019e-06      4.242125849557e-04      
   7.790734635450e-01      1.062601168344e-04      2.278771271041e-06      6.263670056022e-04      
   7.723509707623e-01      1.073477577387e-04      2.280523739957e-06      8.267925960197e-04      
   7.656358428810e-01      1.085944359824e-04      2.282227627218e-06      1.025429701542e-03      
   7.589285699324e-01      1.100006178314e-04      2.283881505277e-06      1.222218667505e-03      
   7.522296419476e-01      1.115667695515e-04      2.285483946583e-06      1.417099839240e-03      
   7.455395489580e-01      1.132933574085e-04      2.287033523588e-06      1.610013562083e-03      
   7.388587809947e-01      1.151808476681e-04      2.288528808744e-06      1.800900181369e-03      
   7.321878280889e-01      1.172297065962e-04      2.289968374501e-06      1.989700042429e-03      
   7.255271802720e-01      1.194404004586e-04      2.291350793310e-06      2.176353490599e-03      
   7.188773275751e-01      1.218133955210e-04      2.292674637624e-06      2.360800871214e-03      
   7.122387788441e-01      1.243488176653e-04      2.293938612993e-06      2.542987472082e-03      
   7.056121181840e-01      1.270454312385e-04      2.295141957372e-06      2.722878350916e-03      
   6.989979485144e-01      1.299016602034e-04      2.296284041816e-06      2.900443507905e-03      
   6.923968727547e-01      1.329159285228e-04      2.297364237379e-06      3.075652943237e-03      
   6.858094938248e-01      1.360866601599e-04      2.298381915115e-06      3.248476657100e-03      
   6.792364146441e-01      1.394122790775e-04      2.299336446080e-06      3.418884649684e-03      
   6.726782381322e-01      1.428912092385e-04      2.300227201329e-06      3.586846921176e-03      
   6.661355672087e-01      1.465218746060e-04      2.301053551916e-06      3.752333471764e-03      
   6.596090047933e-01      1.503026991428e-04      2.301814868895e-06      3.915314301637e-03      
   6.530991538055e-01      1.542321068118e-04      2.302510523322e-06      4.075759410984e-03      
   6.466066171650e-01      1.583085215761e-04      2.303139886251e-06      4.233638799993e-03      
   6.401319977912e-01      1.625303673985e-04      2.303702328737e-06      4.388922468851e-03      
   6.336758986040e-01      1.668960682420e-04      2.304197221835e-06      4.541580417748e-03      
   6.272389225227e-01      1.714040480695e-04      2.304623936599e-06      4.691582646872e-03      
   6.208216724671e-01      1.760527308440e-04      2.304981844084e-06      4.838899156411e-03      
   6.144247513567e-01      1.808405405284e-04      2.305270315345e-06      4.983499946554e-03      
   6.080487621111e-01      1.857659010857e-04      2.305488721437e-06      5.125355017489e-03      
   6.016943076500e-01      1.908272364787e-04      2.305636433414e-06      5.264434369404e-03      
   5.953619908929e-01      1.960229706705e-04      2.305712822330e-06      5.400708002488e-03      
   5.890524147593e-01      2.013515276239e-04      2.305717259242e-06      5.534145916929e-03      
   5.827661821690e-01      2.068113313020e-04      2.305649115202e-06      5.664718112915e-03      
   5.765038960416e-01      2.124008056676e-04      2.305507761267e-06      5.792394590636e-03      
   5.702661592965e-01      2.181183746836e-04      2.305292568491e-06      5.917145350278e-03      
   5.640535748535e-01      2.239624623131e-04      2.305002907928e-06      6.038940392032e-03      
   5.578667456320e-01      2.299314925190e-04      2.304638150633e-06      6.157749716084e-03      
   5.517062745519e-01      2.360238892641e-04      2.304197667662e-06      6.273543322623e-03      
   5.455727426126e-01      2.422378104549e-04      2.303680978765e-06      6.386296652450e-03      
   5.394666431346e-01      2.485703497709e-04      2.303088198480e-06      6.496006908813e-03      
   5.333884475186e-01      2.550183348355e-04      2.302419590044e-06      6.602676735571e-03      
   5.273386271650e-01      2.615785932716e-04      2.301675416691e-06      6.706308776585e-03      
   5.213176534744e-01      2.682479527024e-04      2.300855941657e-06      6.806905675713e-03      
   5.153259978472e-01      2.750232407509e-04      2.299961428177e-06      6.904470076817e-03      
   5.093641316841e-01      2.819012850403e-04      2.298992139486e-06      6.999004623754e-03      
   5.034325263855e-01      2.888789131937e-04      2.297948338819e-06      7.090511960388e-03      
   4.975316533520e-01      2.959529528342e-04      2.296830289412e-06      7.178994730575e-03      
   4.916619839842e-01      3.031202315849e-04      2.295638254500e-06      7.264455578175e-03      
   4.858239896825e-01      3.103775770689e-04      2.294372497317e-06      7.346897147047e-03      
   4.800181418475e-01      3.177218169094e-04      2.293033281100e-06      7.426322081057e-03      
   4.742449118798e-01      3.251497787293e-04      2.291620869084e-06      7.502733024057e-03      
   4.685047711799e-01      3.326582901519e-04      2.290135524503e-06      7.576132619917e-03      
   4.627981911483e-01      3.402441788002e-04      2.288577510593e-06      7.646523512482e-03      
   4.571256431854e-01      3.479042722974e-04      2.286947090590e-06      7.713908345626e-03      
   4.514875986921e-01      3.556353982664e-04      2.285244527728e-06      7.778289763199e-03      
   4.458845290686e-01      3.634343843306e-04      2.283470085243e-06      7.839670409069e-03      
   4.403169057156e-01      3.712980581129e-04      2.281624026369e-06      7.898052927085e-03      
   4.347852000337e-01      3.792232472365e-04      2.279706614343e-06      7.953439961116e-03      
   4.292898834232e-01      3.872067793244e-04      2.277718112400e-06      8.005834155019e-03      
   4.238314272848e-01      3.952454819999e-04      2.275658783774e-06      8.055238152657e-03      
   4.184103030190e-01      4.033361828860e-04      2.273528891701e-06      8.101654597882e-03      
   4.130269820264e-01      4.114757096057e-04      2.271328699416e-06      8.145086134562e-03      
   4.076819357074e-01      4.196608897822e-04      2.269058470155e-06      8.185535406552e-03      
   4.023756354627e-01      4.278885510387e-04      2.266718467152e-06      8.223005057713e-03      
   3.971085526926e-01      4.361555209981e-04      2.264308953644e-06      8.257497731908e-03      
   3.918811587979e-01      4.444586272837e-04      2.261830192864e-06      8.289016072990e-03      
   3.866939251790e-01      4.527946975186e-04      2.259282448048e-06      8.317562724825e-03      
   3.815472751022e-01      4.611604983417e-04      2.256666106806e-06      8.343144951794e-03      
   3.764414392960e-01      4.695525524564e-04      2.253982054236e-06      8.365788500379e-03      
   3.713766003550e-01      4.779673215818e-04      2.251231299813e-06      8.385523737580e-03      
