## TT                      EE                      BB                      TE 
   0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      
   0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      0.000000000000e+00      
   -3.78223149984e-04      3.375256584646e-05      1.442486550271e-02      1.129867327366e-04      
   -5.52409833898e-04      4.898869448176e-05      1.531473545326e-02      1.645048223657e-04      
   -3.73381976520e-04      8.742664216148e-05      1.655037123904e-02      1.806752126075e-04      
   6.230505464853e-04      1.816165451832e-04      1.817320005104e-02      3.363871099302e-04      
   3.019562707550e-03      4.278476346070e-04      2.023348968001e-02      1.136623403759e-03      
   7.439303340718e-03      1.089904966350e-03      2.278840916168e-02      2.847478473533e-03      
   1.444616253439e-02      2.666577156768e-03      2.589896714873e-02      6.206593833752e-03      
   2.441267301321e-02      5.328925496118e-03      2.962574892864e-02      1.140584567880e-02      
   3.740879353737e-02      8.627878151273e-03      3.402366707387e-02      1.796548113540e-02      
   5.314030550294e-02      1.302406248398e-02      3.913630552516e-02      2.630784406386e-02      
   7.078253637202e-02      1.930332969123e-02      4.499074185904e-02      3.696401812534e-02      
   8.927437230543e-02      2.987724787621e-02      5.159382073781e-02      5.164564405991e-02      
   1.073081268817e-01      4.268277436779e-02      5.893064425108e-02      6.767723817890e-02      
   1.233543331800e-01      5.570115616051e-02      6.696562641759e-02      8.289136852251e-02      
   1.359706667904e-01      6.959206771158e-02      7.564603973811e-02      9.727527872005e-02      
   1.441548396442e-01      8.279504034965e-02      8.490772652437e-02      1.092488250048e-01      
   1.476698133570e-01      9.723603794568e-02      9.468251883964e-02      1.198283254285e-01      
   1.467049346331e-01      1.127205150200e-01      1.049067043317e-01      1.285949290906e-01      
   1.426059358269e-01      1.273358572515e-01      1.155294582872e-01      1.347547738957e-01      
   1.369983358828e-01      1.417993853376e-01      1.265196881130e-01      1.393781899024e-01      
   1.319492878780e-01      1.556232089462e-01      1.378695937493e-01      1.432981911880e-01      
   1.297474206189e-01      1.692857421648e-01      1.495937442986e-01      1.482038744212e-01      
   1.324510165134e-01      1.837686729239e-01      1.617235292788e-01      1.560139337754e-01      
   1.416268049967e-01      1.984359164732e-01      1.742979950365e-01      1.676420139664e-01      
   1.580862403271e-01      2.132304270588e-01      1.873527829573e-01      1.835995548389e-01      
   1.816485599350e-01      2.282770243597e-01      2.009089025771e-01      2.036324943156e-01      
   2.112249108539e-01      2.432970713391e-01      2.149625889442e-01      2.266945129565e-01      
   2.448583804204e-01      2.579082796417e-01      2.294769648060e-01      2.512986343976e-01      
   2.799840632715e-01      2.717044802381e-01      2.443760468355e-01      2.758132056051e-01      
   3.138482012140e-01      2.845203308781e-01      2.595418605262e-01      2.988246878270e-01      
   3.436031240389e-01      2.964217074603e-01      2.748157433573e-01      3.191417000586e-01      
   3.669975540527e-01      3.073954635393e-01      2.900048462337e-01      3.358770359013e-01      
   3.825227490501e-01      3.173702104657e-01      3.048941112758e-01      3.484269297485e-01      
   3.897364359700e-01      3.263315817667e-01      3.192627772266e-01      3.566276876831e-01      
   3.890757314358e-01      3.343239635129e-01      3.329032983826e-01      3.606623637702e-01      
   3.819089150982e-01      3.417206539954e-01      3.456400406342e-01      3.612563691259e-01      
   3.703321422003e-01      3.488352475620e-01      3.573454229066e-01      3.594230161031e-01      
   3.568690491698e-01      3.558133734165e-01      3.679519521985e-01      3.563408203575e-01      
   3.442315193919e-01      3.626971641808e-01      3.774592594244e-01      3.533437361905e-01      
   3.347041237171e-01      3.694996607555e-01      3.859354379308e-01      3.516718074668e-01      
   3.301730201248e-01      3.762408753264e-01      3.935119055604e-01      3.524550838063e-01      
   3.315816956374e-01      3.828980175834e-01      4.003711945007e-01      3.563172377623e-01      
   3.391866565083e-01      3.894835041927e-01      4.067279288371e-01      3.634661023428e-01      
   3.523479064169e-01      3.959226977313e-01      4.128046790177e-01      3.735003797168e-01      
   3.698716160913e-01      4.021284751049e-01      4.188058142086e-01      3.856629473561e-01      
   3.903439712414e-01      4.080475155232e-01      4.248932523115e-01      3.990975916546e-01      
   4.121108924855e-01      4.136167424131e-01      4.311678064027e-01      4.128631309076e-01      
   4.337897554763e-01      4.189662775694e-01      4.376587906481e-01      4.263135924406e-01      
   4.543009822077e-01      4.241753924263e-01      4.443231289849e-01      4.389798371311e-01      
   4.731357621668e-01      4.294534976731e-01      4.510538615963e-01      4.507658016496e-01      
   4.903088975364e-01      4.345613924720e-01      4.576968984190e-01      4.615943210817e-01      
   5.063660578992e-01      4.392092061834e-01      4.640740839373e-01      4.715937174392e-01      
   5.220031423102e-01      4.436116669809e-01      4.700099331511e-01      4.812137613675e-01      
   5.378993080240e-01      4.479311516801e-01      4.753586839231e-01      4.908582855887e-01      
   5.544812382894e-01      4.526362598977e-01      4.800277526313e-01      5.009773586528e-01      
   5.718363071619e-01      4.579299608718e-01      4.839936673364e-01      5.117235364567e-01      
   5.895288191351e-01      4.636979492841e-01      4.873074412983e-01      5.228415672810e-01      
   6.066256295872e-01      4.696659494127e-01      4.900881533651e-01      5.337709267637e-01      
   6.217190667518e-01      4.755082225240e-01      4.925057797817e-01      5.437210022985e-01      
   6.330784015828e-01      4.808777757162e-01      4.947563783656e-01      5.517547766962e-01      
   6.392521683081e-01      4.856501224710e-01      4.970339822275e-01      5.571829985101e-01      
   6.388089646129e-01      4.898531819812e-01      4.995038224237e-01      5.593948551728e-01      
   6.308240614549e-01      4.934310629418e-01      5.022809484415e-01      5.579141396066e-01      
   6.153250105680e-01      4.964836052028e-01      5.054172859891e-01      5.527194402391e-01      
   5.929955408472e-01      4.992807486716e-01      5.088989177364e-01      5.441243034391e-01      
   5.652938304129e-01      5.019470403602e-01      5.126539856989e-01      5.326796083103e-01      
   5.343310927105e-01      5.046205070931e-01      5.165700998604e-01      5.192633502946e-01      
   5.025887504229e-01      5.075542572163e-01      5.205185658884e-01      5.050654016127e-01      
   4.726449083546e-01      5.108344843534e-01      5.243813540688e-01      4.913688207870e-01      
   4.468143770762e-01      5.145926309815e-01      5.280759105176e-01      4.795074408808e-01      
   4.269199222264e-01      5.189058381129e-01      5.315730391316e-01      4.706710529127e-01      
   4.141352070651e-01      5.237535730693e-01      5.349043018189e-01      4.657303881369e-01      
   4.088476329784e-01      5.291035771513e-01      5.381574584594e-01      4.651050904029e-01      
   4.107457242594e-01      5.347921124580e-01      5.414608400023e-01      4.686828069812e-01      
   4.189547671941e-01      5.407200746465e-01      5.449595905384e-01      4.759592976198e-01      
   4.323059647584e-01      5.467537254235e-01      5.487880025618e-01      4.861737310411e-01      
   4.494053678433e-01      5.528261649267e-01      5.530426009050e-01      4.984406143186e-01      
   4.691097995481e-01      5.589808286236e-01      5.577603399190e-01      5.120775180252e-01      
   4.904141092889e-01      5.652166122605e-01      5.629054600988e-01      5.264885577646e-01      
   5.127295898521e-01      5.716704711242e-01      5.683673339011e-01      5.413985280642e-01      
   5.357886387231e-01      5.783600951989e-01      5.739700786987e-01      5.566675561755e-01      
   5.595507724502e-01      5.853475156356e-01      5.794929144858e-01      5.723038131322e-01      
   5.841286770844e-01      5.926030629704e-01      5.846984049559e-01      5.883506124829e-01      
   6.095698559825e-01      6.000429933590e-01      5.893642027442e-01      6.047876660822e-01      
   6.356443288498e-01      6.074655059377e-01      5.933131438028e-01      6.213952074334e-01      
   6.617301989924e-01      6.146466370050e-01      5.964368000501e-01      6.377540602892e-01      
   6.870980797744e-01      6.212536205382e-01      5.987088979711e-01      6.533468984580e-01      
   7.103946729337e-01      6.269367513419e-01      6.001869881726e-01      6.673623666492e-01      
   7.302560207789e-01      6.314443386182e-01      6.010028500013e-01      6.790552481667e-01      
   7.453842430930e-01      6.345307709593e-01      6.013438370097e-01      6.877275902788e-01      
   7.544734027094e-01      6.360784836567e-01      6.014284651521e-01      6.927512525826e-01      
   7.567950405312e-01      6.360823031574e-01      6.014800248805e-01      6.938183713330e-01      
   7.521213334959e-01      6.347138335019e-01      6.017019795448e-01      6.909282269829e-01      
   7.407289280302e-01      6.322303201175e-01      6.022584718194e-01      6.843327314171e-01      
   7.235865231303e-01      6.290003134406e-01      6.032623956925e-01      6.746377915966e-01      
   7.020167203878e-01      6.254219909202e-01      6.047722114152e-01      6.626135336108e-01      
   6.777076747264e-01      6.219169461653e-01      6.067971164491e-01      6.492132834890e-01      
   6.525278577345e-01      6.188466877552e-01      6.093086333477e-01      6.354641637630e-01      
   6.280770959380e-01      6.164685848355e-01      6.122555236537e-01      6.222457701748e-01      
   6.058721111668e-01      6.148927162659e-01      6.155785130500e-01      6.103657494856e-01      
   5.869011632940e-01      6.142661786079e-01      6.192217346482e-01      6.004277931584e-01      
   5.719615392663e-01      6.144807105270e-01      6.231389078041e-01      5.928400568808e-01      
   5.612491668239e-01      6.153938285155e-01      6.272937039061e-01      5.876982844308e-01      
   5.547782288956e-01      6.169074298093e-01      6.316550980555e-01      5.850186418416e-01      
   5.522812930517e-01      6.188284095878e-01      6.361894781505e-01      5.846087189089e-01      
   5.535150320020e-01      6.211424414705e-01      6.408517866045e-01      5.863545671079e-01      
   5.580807412642e-01      6.237568727204e-01      6.455780554996e-01      5.900056761561e-01      
   5.657043153633e-01      6.267336971845e-01      6.502814458943e-01      5.954376181271e-01      
   5.762203299145e-01      6.301251212549e-01      6.548533491344e-01      6.025702492298e-01      
   5.894027914412e-01      6.339622964720e-01      6.591702444336e-01      6.112766535776e-01      
   6.049745508296e-01      6.383723703116e-01      6.631058679132e-01      6.214491435277e-01      
   6.225344178787e-01      6.433585697841e-01      6.665469979428e-01      6.328608478393e-01      
   6.415821976182e-01      6.489266367307e-01      6.694101024973e-01      6.452439675709e-01      
   6.612994202709e-01      6.548303835627e-01      6.716555692721e-01      6.580569527220e-01      
   6.808407447120e-01      6.610053308022e-01      6.732964710073e-01      6.708497310740e-01      
   6.990811800075e-01      6.671529100527e-01      6.743997835108e-01      6.829304822638e-01      
   7.150890920439e-01      6.728601021951e-01      6.750794010726e-01      6.936533136598e-01      
   7.280564940188e-01      6.780672980444e-01      6.754817945246e-01      7.026174632921e-01      
   7.374071261916e-01      6.825531615285e-01      6.757664012074e-01      7.094501852250e-01      
   7.430735881304e-01      6.861846445318e-01      6.760836587813e-01      7.140628025126e-01      
   7.453050537456e-01      6.891540877521e-01      6.765539780022e-01      7.166798618708e-01      
   7.448903781462e-01      6.915751066049e-01      6.772509233192e-01      7.177378648751e-01      
   7.429178160365e-01      6.937907641088e-01      6.781914315900e-01      7.179342025966e-01      
   7.406537699873e-01      6.960005372069e-01      6.793350145312e-01      7.179800984676e-01      
   7.394255627109e-01      6.986678185177e-01      6.805925705016e-01      7.187578485522e-01      
   7.403687103588e-01      7.020697154989e-01      6.818438148861e-01      7.209649435624e-01      
   7.442823917309e-01      7.062513671974e-01      6.829607167417e-01      7.250175561604e-01      
   7.514926131351e-01      7.114512828749e-01      6.838330795449e-01      7.311979100668e-01      
   7.618657227832e-01      7.175031784289e-01      6.843918561895e-01      7.393517955838e-01      
   7.747959403874e-01      7.241081742133e-01      6.846260924035e-01      7.490234133736e-01      
   7.892416327573e-01      7.309989350833e-01      6.845904580929e-01      7.595622377850e-01      
   8.040215326758e-01      7.377228865965e-01      6.844018766316e-01      7.701591302915e-01      
   8.178263480159e-01      7.440280386189e-01      6.842254687607e-01      7.800549555289e-01      
   8.295623873877e-01      7.494465599098e-01      6.842516303025e-01      7.884875886520e-01      
   8.383909372229e-01      7.538027089711e-01      6.846674044127e-01      7.949725527686e-01      
   8.437758969429e-01      7.569672754401e-01      6.856262840437e-01      7.991938074028e-01      
   8.456186001863e-01      7.589941392094e-01      6.872210673518e-01      8.011364188126e-01      
   8.442418298994e-01      7.597622324598e-01      6.894642433260e-01      8.008889170293e-01      
   8.400892277118e-01      7.596243355288e-01      6.922795058954e-01      7.988443035945e-01      
   8.339005601079e-01      7.586876209268e-01      6.955064164542e-01      7.954055770723e-01      
   8.263527113369e-01      7.571172375586e-01      6.989181768684e-01      7.909778012412e-01      
   8.180358291604e-01      7.549732757989e-01      7.022503144553e-01      7.858722476727e-01      
   8.094398741334e-01      7.524023964494e-01      7.052362509321e-01      7.804002185287e-01      
   8.008312189716e-01      7.494391716624e-01      7.076445874193e-01      7.747091618068e-01      
   7.922635675183e-01      7.460951130834e-01      7.093126641050e-01      7.688328661025e-01      
   7.838491056434e-01      7.423232398463e-01      7.101715134087e-01      7.628036494746e-01      
   7.755427873527e-01      7.382552717560e-01      7.102585403647e-01      7.566693804004e-01      
   7.674507404338e-01      7.339619801052e-01      7.097159147757e-01      7.505195967342e-01      
   7.597963173942e-01      7.297377947028e-01      7.087745581700e-01      7.446153967510e-01      
   7.529398201900e-01      7.257619562875e-01      7.077255843548e-01      7.392259985064e-01      
   7.474324875156e-01      7.226072283239e-01      7.068828910445e-01      7.349150414591e-01      
   7.437510246758e-01      7.205257665900e-01      7.065420143642e-01      7.320462944422e-01      
   7.424387239260e-01      7.197896390965e-01      7.069410455673e-01      7.310264708928e-01      
   7.437289169589e-01      7.207625218832e-01      7.082291711344e-01      7.321556731903e-01      
   7.476484181676e-01      7.233046543055e-01      7.104472374502e-01      7.353758091240e-01      
   7.537459875015e-01      7.274808026276e-01      7.135228819253e-01      7.404969520295e-01      
   7.612561637701e-01      7.327317658207e-01      7.172805830806e-01      7.468577997993e-01      
   7.690365888677e-01      7.387242582479e-01      7.214648639775e-01      7.537280568460e-01      
   7.757021345657e-01      7.446373905875e-01      7.257731644214e-01      7.600110613380e-01      
   7.798445625841e-01      7.496554714662e-01      7.298937732599e-01      7.646010353344e-01      
   7.801646763939e-01      7.532172451606e-01      7.335437474167e-01      7.665725590738e-01      
   7.757171057333e-01      7.546728785995e-01      7.365019204221e-01      7.651226445235e-01      
   7.661017821461e-01      7.535839553533e-01      7.386328724164e-01      7.598170906164e-01      
   7.514004706030e-01      7.499307264000e-01      7.398990322444e-01      7.506652387960e-01      
   7.324180487688e-01      7.438111974596e-01      7.403597906143e-01      7.380926404563e-01      
   7.104082450340e-01      7.359088432538e-01      7.401583947509e-01      7.230461325814e-01      
   6.871359364499e-01      7.266590229342e-01      7.394991407452e-01      7.066212056000e-01      
   6.644220566255e-01      7.171782048350e-01      7.386186370687e-01      6.902963260973e-01      
   6.441282362682e-01      7.082337793985e-01      7.377554519358e-01      6.754208874394e-01      
   6.278170658053e-01      7.007102375540e-01      7.371222465023e-01      6.632630287607e-01      
   6.165970368641e-01      6.953720161498e-01      7.368836897146e-01      6.548009809676e-01      
   6.110178964579e-01      6.927040562008e-01      7.371422994988e-01      6.505801835959e-01      
   6.109883524879e-01      6.926872806993e-01      7.379331001324e-01      6.505565774195e-01      
   6.158994022796e-01      6.954657774473e-01      7.392267979213e-01      6.544745653085e-01      
   6.247116335707e-01      7.005293415764e-01      7.409401571384e-01      6.615352064255e-01      
   6.361178400634e-01      7.074075080030e-01      7.429514736321e-01      6.708163206389e-01      
   6.487370944548e-01      7.152490785433e-01      7.451185657916e-01      6.811817738502e-01      
   6.613226919335e-01      7.236448728923e-01      7.472966075288e-01      6.917823178898e-01      
   6.728948626626e-01      7.317708116944e-01      7.493534579551e-01      7.017156260449e-01      
   6.828396754458e-01      7.391265222081e-01      7.511808531930e-01      7.104258684324e-01      
   6.909018703994e-01      7.453136594190e-01      7.527007612475e-01      7.175922249627e-01      
   6.971519943455e-01      7.502434384600e-01      7.538671280452e-01      7.232106950032e-01      
   7.018785169864e-01      7.538664768265e-01      7.546639386612e-01      7.274081967924e-01      
   7.055053996152e-01      7.561768394838e-01      7.551008600416e-01      7.304018368814e-01      
   7.084684457093e-01      7.575681151766e-01      7.552077361520e-01      7.326070604888e-01      
   7.109680565406e-01      7.581608371006e-01      7.550289899526e-01      7.341853559549e-01      
   7.131448442000e-01      7.582568535607e-01      7.546186828869e-01      7.353549929769e-01      
   7.149211465815e-01      7.580303534871e-01      7.540366726256e-01      7.361602607168e-01      
   7.159959416984e-01      7.576314270819e-01      7.533460077882e-01      7.365195361250e-01      
   7.161269856574e-01      7.571566072924e-01      7.526113931775e-01      7.363560815603e-01      
   7.149189555296e-01      7.566626080651e-01      7.518982703601e-01      7.354946916506e-01      
   7.121634735704e-01      7.561876858785e-01      7.512718584836e-01      7.338455212417e-01      
   7.077518655404e-01      7.557521812833e-01      7.507954819416e-01      7.313583363779e-01      
   7.018656411647e-01      7.554278266474e-01      7.505277249136e-01      7.281544038894e-01      
   6.948145340386e-01      7.552790726437e-01      7.505183565274e-01      7.244162318226e-01      
   6.870440271493e-01      7.554097809937e-01      7.508034359766e-01      7.204163921524e-01      
   6.791227550556e-01      7.559132008986e-01      7.514003766137e-01      7.164899549729e-01      
   6.715674237464e-01      7.568695682242e-01      7.523039101594e-01      7.129438589709e-01      
   6.648108823365e-01      7.583108488823e-01      7.534838268001e-01      7.100234535076e-01      
   6.591418912946e-01      7.601692663349e-01      7.548851362627e-01      7.078554993189e-01      
   6.546562587561e-01      7.623701707980e-01      7.564309902639e-01      7.064633067625e-01      
   6.512713410380e-01      7.646851677945e-01      7.580283906441e-01      7.057035742445e-01      
   6.488328715480e-01      7.669321065588e-01      7.595763899544e-01      7.054153109913e-01      
   6.470608492890e-01      7.688537643797e-01      7.609761526451e-01      7.053333749076e-01      
   6.458033173236e-01      7.702570835786e-01      7.621418859531e-01      7.052904222851e-01      
   6.449350174763e-01      7.710277745556e-01      7.630113289635e-01      7.051686402966e-01      
   6.445402357951e-01      7.710918684122e-01      7.635543159252e-01      7.049820811100e-01      
   6.448310610509e-01      7.705587597577e-01      7.637780133357e-01      7.048973135547e-01      
   6.461639508387e-01      7.695725352745e-01      7.637278082831e-01      7.051737586226e-01      
   6.489774345438e-01      7.683750632618e-01      7.634834342231e-01      7.061572610425e-01      
   6.536864758796e-01      7.672670517210e-01      7.631506178871e-01      7.082034277649e-01      
   6.605838983460e-01      7.665121856483e-01      7.628491647502e-01      7.115796566269e-01      
   6.698367284208e-01      7.663967870097e-01      7.626988707561e-01      7.164919514432e-01      
   6.813631414682e-01      7.668998837000e-01      7.628049275998e-01      7.228674248778e-01      
   6.948873213643e-01      7.682961484959e-01      7.632445928487e-01      7.306704131432e-01      
   7.099177075223e-01      7.704277761476e-01      7.640568340142e-01      7.395541363918e-01      
   7.259044773212e-01      7.731995401087e-01      7.652364068345e-01      7.491788892031e-01      
   7.422476779223e-01      7.764493118730e-01      7.667333603214e-01      7.591559120247e-01      
   7.584420250204e-01      7.798776268603e-01      7.684582768526e-01      7.690851491116e-01      
   7.741439764920e-01      7.833858029397e-01      7.702927307837e-01      7.787511801693e-01      
   7.892178371868e-01      7.867218732612e-01      7.721036346564e-01      7.879688669502e-01      
   8.037666364966e-01      7.898784313510e-01      7.737595201171e-01      7.967922753191e-01      
   8.179778672246e-01      7.928572995457e-01      7.751465153752e-01      8.053196402024e-01      
   8.322242387540e-01      7.955478001058e-01      7.761818822908e-01      8.136793977578e-01      
   8.468050697564e-01      7.980231277496e-01      7.768234076339e-01      8.220523282378e-01      
   8.619224439407e-01      8.003787432171e-01      7.770735809506e-01      8.305807621369e-01      
   8.775296162153e-01      8.026559301240e-01      7.769782073698e-01      8.392582143266e-01      
   8.933011529734e-01      8.047175883765e-01      7.766198085976e-01      8.478532594233e-01      
   9.086692510392e-01      8.066623539097e-01      7.761068093045e-01      8.561479293724e-01      
   9.227864038575e-01      8.081988870577e-01      7.755600438513e-01      8.635942013409e-01      
   9.346084634068e-01      8.094001807685e-01      7.750984791710e-01      8.697541372303e-01      
   9.431120184529e-01      8.098689417555e-01      7.748261446024e-01      8.739548800375e-01      
   9.473323699741e-01      8.095962281977e-01      7.748220257680e-01      8.757606485682e-01      
   9.464915549046e-01      8.084696728782e-01      7.751341314715e-01      8.747626636841e-01      
   9.402040223186e-01      8.063700724385e-01      7.757781896657e-01      8.707194643420e-01      
   9.284253656398e-01      8.033026176924e-01      7.767406452041e-01      8.636009069880e-01      
   9.115373428728e-01      7.992946657609e-01      7.779849930788e-01      8.535730406943e-01      
   8.903012899973e-01      7.945521071601e-01      7.794600983509e-01      8.410652566684e-01      
   8.658025658708e-01      7.892939820849e-01      7.811090490498e-01      8.266636286395e-01      
   8.392885260029e-01      7.837504214048e-01      7.828772081024e-01      8.110442256345e-01      
   8.121344178115e-01      7.782401967927e-01      7.847183956026e-01      7.950066975439e-01      
   7.857269187359e-01      7.730593383230e-01      7.865984823153e-01      7.793673921204e-01      
   7.612932367669e-01      7.685847167896e-01      7.884960802695e-01      7.649302888331e-01      
   7.398847167214e-01      7.650837338166e-01      7.904004585001e-01      7.523787355203e-01      
   7.222980486060e-01      7.628513422832e-01      7.923072508210e-01      7.422978080984e-01      
   7.090879273360e-01      7.620338549768e-01      7.942128813792e-01      7.350843535169e-01      
   7.005188117162e-01      7.626559378296e-01      7.961088233630e-01      7.309273775942e-01      
   6.965582592334e-01      7.648391623611e-01      7.979767711675e-01      7.299007025122e-01      
   6.969785942705e-01      7.683166214224e-01      7.997855622717e-01      7.317788181914e-01      
   7.012340007039e-01      7.729357228378e-01      8.014903182398e-01      7.362124755887e-01      
   7.086358793310e-01      7.782745182897e-01      8.030339001863e-01      7.426393792610e-01      
   7.182143528873e-01      7.839185527237e-01      8.043504808958e-01      7.503476234792e-01      
   7.289410472783e-01      7.893374814575e-01      8.053708473128e-01      7.585383908476e-01      
   7.396424912406e-01      7.940735362957e-01      8.060289276667e-01      7.663749269215e-01      
   7.491406761009e-01      7.975340794208e-01      8.062689336220e-01      7.729587437055e-01      
   7.563320847514e-01      7.994334554997e-01      8.060523965987e-01      7.775841896657e-01      
   7.602907142411e-01      7.994509339020e-01      8.053642880784e-01      7.796249877583e-01      
   7.603571100799e-01      7.974892653380e-01      8.042174080785e-01      7.787018897576e-01      
   7.562716941127e-01      7.936645639667e-01      8.026543524893e-01      7.747425665008e-01      
   7.481791131072e-01      7.882586681750e-01      8.007466259659e-01      7.679574670867e-01      
   7.367197621298e-01      7.816827543811e-01      7.985907967935e-01      7.588683238011e-01      
   7.228708459941e-01      7.745733408773e-01      7.963019192428e-01      7.482756752725e-01      
   7.080466675119e-01      7.675967858492e-01      7.940047282152e-01      7.372206903047e-01      
   6.938375579683e-01      7.614485642848e-01      7.918233358346e-01      7.268573535171e-01      
   6.818187281577e-01      7.566652381590e-01      7.898703513547e-01      7.182677288607e-01      
   6.734908318877e-01      7.538299582121e-01      7.882365117234e-01      7.125289928544e-01      
   6.699986193088e-01      7.531734022423e-01      7.869820152352e-01      7.103697203587e-01      
   6.720574546456e-01      7.548594881210e-01      7.861307242864e-01      7.122562363375e-01      
   6.797984840443e-01      7.587062905236e-01      7.856681791324e-01      7.181694689507e-01      
   6.928260491732e-01      7.644339013546e-01      7.855439276175e-01      7.277497644998e-01      
   7.101840575818e-01      7.714853012506e-01      7.856780860315e-01      7.402003523418e-01      
   7.305805696883e-01      7.793684016468e-01      7.859714234132e-01      7.545802878900e-01      
   7.524080955151e-01      7.873670705848e-01      7.863177406911e-01      7.696891307859e-01      
   7.740303764835e-01      7.949822210712e-01      7.866169967632e-01      7.844363504284e-01      
   7.939431110834e-01      8.017205687404e-01      7.867875523480e-01      7.978223627884e-01      
   8.109702379543e-01      8.072358805910e-01      7.867760384873e-01      8.091009048123e-01      
   8.242615196958e-01      8.113652297652e-01      7.865636633126e-01      8.177879537598e-01      
   8.334758570394e-01      8.141390500996e-01      7.861682059217e-01      8.237507162552e-01      
   8.387541205978e-01      8.156967583698e-01      7.856414787543e-01      8.271451004757e-01      
   8.405184741499e-01      8.162602365499e-01      7.850626301556e-01      8.283005544693e-01      
   8.395616655329e-01      8.161349251459e-01      7.845282344478e-01      8.277654239306e-01      
   8.366307304528e-01      8.155854191802e-01      7.841405707528e-01      8.260410552723e-01      
   8.325294502919e-01      8.147914532588e-01      7.839957141617e-01      8.236127006573e-01      
   8.278136322939e-01      8.138924302239e-01      7.841729905425e-01      8.208235187665e-01      
